name,author,description,book_id,genre
Anne of Windy Poplars,LUCY MAUD MONTGOMERY,Anne Shirley has left Redmond College behind to begin a new job and a new chapter of her life away from Green Gables. Now she faces a new challenge: the Pringles. They,2928,"['Classics', 'Fiction', 'Young Adult', 'Historical Fiction', 'Childrens', 'Romance', 'Canada']"
Deal Breaker,HARLAN COBEN,"Sports agent and sometime investigator Myron Bolitar is plunged into a baffling mystery of sex and blackmail. Trying to unravel the truth about a family's tragedy, he is up against the dark side of his business.",2929,"['Mystery', 'Fiction', 'Thriller', 'Crime', 'Mystery Thriller', 'Suspense', 'Audiobook']"
The Royal We,HEATHER COCKS,"An American girl finds her prince in this ""fun and dishy"" (People) royal romance inspired by Prince William and Kate Middleton. American Bex Porter was never one for fairy tales. Her twin sister Lacey was always the romantic, the one who daydreamed of being a princess. But it's adventure-seeking Bex who goes to Oxford and meets dreamy Nick across the hall - and Bex who finds herself accidentally in love with the heir to the British throne. Nick is wonderful, but he comes with unimaginable baggage: a complicated family, hysterical tabloids tracking his every move, and a public that expected its future king to marry a Brit. On the eve of the most talked-about wedding of the century, Bex looks back on how much she's had to give up for true love... and exactly whose heart she may yet have to break. Praise for THE ROYAL WE ""Hysterical"" - Entertainment Weekly ""Full of love and humor, and delicious in too many ways."" - Emma Straub, New York Times bestselling author ""Engrossing and deeply satisfying."" - Jen Doll, author of Save the Date",2930,"['Romance', 'Fiction', 'Chick Lit', 'Contemporary', 'Audiobook', 'Adult', 'Contemporary Romance']"
An Offer From a Gentleman,JULIA QUINN,"Sophie Beckett never dreamed she′d be able to sneak into Lady Bridgerton′s famed masquerade ball - or that ""Prince Charming"" would be waiting there for her! Though the daughter of an earl, Sophie has been relegated to the role of servant by her disdainful stepmother. But now, spinning in the strong arms of the debonair and devastatingly handsome Benedict Bridgerton, she feels like royalty. Alas, she knows all enchantments must end when the clock strikes midnight. Who was that extraordinary woman? Ever since that magical night, a radiant vision in silver has blinded Benedict to the attractions of any other - except, perhaps, this alluring and oddly familiar beauty dressed in housemaid′s garb whom he feels compelled to rescue from a most disagreeable situation. He has sworn to find and wed his mystery miss, but this breathtaking maid makes him weak with wanting her. Yet, if he offers her his heart, will Benedict sacrifice his only chance for a fairy tale love?",2931,"['Historical Romance', 'Historical Fiction', 'Historical', 'Fiction', 'Audiobook', 'Enemies To Lovers', 'Regency']"
Peter and the Secret of Rundoon,DAVE BARRY,"Fearing that the sinister Lord Ombra was not destroyed, Peter and Molly travel to the land of Rundoon, which is ruled by the evil King Zarboff, and once again find themselves in a struggle to save themselves as well as the planet. 200,000 first printing.",2932,"['Fantasy', 'Young Adult', 'Fiction', 'Adventure', 'Middle Grade', 'Childrens', 'Magic']"
The Likeness,TANA FRENCH,"A follow-up to In the Woods finds a traumatized detective Cassie Maddox struggling in her career and relationship with Sam O'Neill while investigating the unsettling murder of a young woman whose name matches an alias Cassie once had used as an undercover officer. 50,000 first printing.",2933,"['Chick Lit', 'Fiction', 'Romance', 'Book Club', 'Audiobook', 'Contemporary', 'Adult Fiction']"
Immortality,MILAN KUNDERA,"A modern classic, ""Immortality"" is ""ingenious, witty, provocative, and formidably intelligent, both a pleasure and a challenge to the reader"" (""Washington Post Book World"").",2934,"['Fiction', 'Philosophy', 'Czech Literature', 'Novels', 'Literature', 'Classics', 'Contemporary']"
For the Next Generation,DEBBIE WASSERMAN SCHULTZ,"The Democratic National Committee chair and Florida Congresswoman calls for strategic changes in such areas as energy, healthcare, and the economy to secure American livelihoods and stability for the next generation.",2935,"['Fiction', 'Historical Fiction', 'Audiobook', 'Mystery', 'Historical', 'Drama', 'Thriller']"
Axis,ROBERT CHARLES WILSON,"Wildly praised by readers and critics alike, Robert Charles Wilson's Spin won science fiction's highest honor, the Hugo Award for Best Novel. Now, in Axis, Spin's direct sequel, Wilson takes us to the ""world next door""—the planet engineered by the mysterious Hypotheticals to support human life, and connected to Earth by way of the Arch that towers hundreds of miles over the Indian Ocean. Humans are colonizing this new world—and, predictably, fiercely exploiting its resources, chiefly large deposits of oil in the western deserts of the continent of Equatoria. Lise Adams is a young woman attempting to uncover the mystery of her father's disappearance ten years earlier. Turk Findley is an ex-sailor and sometimes-drifter. They come together when an infall of cometary dust seeds the planet with tiny remnant Hypothetical machines. Soon, this seemingly hospitable world will become very alien indeed—as the nature of time is once again twisted, by entities unknown.",2936,"['Science Fiction', 'Fiction', 'Hugo Awards', 'Science Fiction Fantasy', 'Time Travel', 'Fantasy', 'Dystopia']"
Piano Roles,JAMES PARAKILAS,This delightfully written book examines every aspect of the history of the piano over the past 300 years. This new edition includes 47 color photos and 14 illustrations.,2937,"['Plays', 'Drama', 'Classics', 'Fiction', 'Theatre', 'Literature', 'American']"
Hellsing,KOHTA HIRANO,"A Japanese graphic novel in which Hellsing, a secret vampire-hunting agency, was recruited to protect the Queen of England from evil monsters of all sorts. And they are kept very busy.",2938,"['Manga', 'Horror', 'Vampires', 'Graphic Novels', 'Comics', 'Fantasy', 'Fiction']"
Apollyon,TIM LAHAYE,2nd copy.,2939,"['Christian Fiction', 'Fiction', 'Christian', 'Religion', 'Fantasy', 'Thriller', 'Apocalyptic']"
Twisted,LAURIE HALSE ANDERSON,"After getting busted for doing graffiti and having to work all summer to pay for the damages, invisible Tyler's physique changes greatly and brings with it unexpected perks, including the attention of his father's boss's daughter, Bethany Millbury, and a change in the unspoken hierarchy at school.",2940,"['Young Adult', 'Fiction', 'Realistic Fiction', 'Contemporary', 'Teen', 'Coming Of Age', 'High School']"
The Icarus Agenda,ROBERT LUDLUM,"In Ludlum's most action-packed, powerfully told, suspenseful book yet, a murderous band of terrorist fanatics has seized the American embassy in the Arab city of Musqat, but an American congressman, working undercover, succeeds in lifting the deadly siege. Copyright © Libri GmbH. All rights reserved.",2943,"['Fiction', 'Thriller', 'Mystery', 'Espionage', 'Suspense', 'Adventure', 'Action']"
What Happened to Anna K.,IRINA REYN,"A mesmerizing debut novel that reimagines Tolstoy's classic tragedy, Anna Karenina, for our time Vivacious thirty-seven-year-old Anna K. is comfortably married to Alex, an older, prominent businessman from her tight-knit Russian-Jewish immigrant community in Queens. But a longing for freedom is reignited in this bookish, overly romantic, and imperious woman when she meets her cousin Katia Zavurov's boyfriend, an outsider and aspiring young writer on whom she pins her hopes for escape. As they begin a reckless affair, Anna enters into a tailspin that alienates her from her husband, family, and entire world. In nearby Rego Park's Bukharian-Jewish community, twenty-seven-year-old pharmacist Lev Gavrilov harbors two secret passions: French movies and the lovely Katia. Lev's restless longing to test the boundaries of his sheltered life powerfully collides with Anna's. But will Lev's quest result in life's affirmation rather than its destruction? Exploring struggles of identity, fidelity, and community, What Happened to Anna K. is a remarkable retelling of the Anna Karenina story brought vividly to life by an exciting young writer.",2944,"['Paranormal Romance', 'Paranormal', 'Romance', 'Fantasy', 'Vampires', 'Urban Fantasy', 'Witches']"
Stiletto,CAROLINE COX,"Stiletto spells sex. Nothing else creates an erotically taut, arched foot or an overall come-hither silhouette quite like the stiletto heel.This exquisite book uncovers the compelling lure of the needle heel. A highly charged symbol, the stiletto suggests a multitude of contradictions - it can be elegant, vulgar, submissive, aggressive, subversive, conventional. The stiletto is phallic but supremely female, it makes the wearer at once vulnerable and in control. Six decades have seen the stiletto in vogue around the world with an ever-changing, kaleidoscopic clientele of classic ladies, Hollywood stars, fetishists, punks, princesses, power- dressers, cross-dressers, A-list celebrities, and the girl next door. For the first time, Stiletto attempts to uncover the compelling lure of the needle heel. Caroline Cox presents the various incarnations of the stiletto since its invention as a fantasy shoe brought to life by the flair and skill of shoemakers Vivier, Perugia, Ferragamo, and Jourdan in the early 1950s. Assertively modern, stilettos released women from the utilitarian wartime fashion of the 1940s, offering streamlined sophistication and glamour to women the world over. As the decade progressed the heel became saucier and higher, worn by starlets like Marilyn Monroe and Jayne Mansfield. By the end of the 1950s the heel was being worn by “bad girls” and had become a weapon of female power. The 1970s took the stiletto’s associations with sex and death and turned it into a fetish object, eulogized by artists Allen Jones and Eric Stanton. 1980s power dressers brought the stiletto back into the fashion arena, and today heels designed by Manolo Blahnik, Christian Louboutin, Jimmy Choo, and Gina are the badge of celebrity status and fashion savvy. This exciting new book by an international fashion authority presents the story of the stiletto for the first time, illustrated with new and vintage photography to explore the stiletto’s long relationship with sex, power femininity, fashion, and fetishism.",2945,"['Psychology', 'Fiction', 'Philosophy', 'Historical Fiction', 'Novels', 'Literature', 'Classics']"
The Crossing,CORMAC MCCARTHY,"In the 1930s, two teenage brothers whose ranch in New Mexico was raided by bandits cross into Mexico to search for stolen horses. The novel follows them through the revolution-torn countryside, meeting soldiers, peasants, priests and thieves, all proffering advice. By the author of ""All the Pretty Horses.""",2946,"['Fiction', 'Westerns', 'Historical Fiction', 'Literature', 'Novels', 'American', 'Literary Fiction']"
The Treasure of the City of Ladies,CHRISTINE DE PIZAN,"Advice and guidance for women of all ages, from Europe's first professional woman writer Written by Europe’s first professional woman writer, The Treasure of the City of Ladies offers advice and guidance to women of all ages and from all levels of medieval society, from royal courtiers to prostitutes. It paints an intricate picture of daily life in the courts and streets of fifteenth-century France and gives a fascinating glimpse into the practical considerations of running a household, dressing appropriately and maintaining a reputation in all circumstances. Christine de Pizan’s book provides a valuable counterbalance to male accounts of life in the middle ages and demonstrates, often with dry humour, how a woman’s position in society could be made less precarious by following the correct etiquette. For more than seventy years, Penguin has been the leading publisher of classic literature in the English-speaking world. With more than 1,700 titles, Penguin Classics represents a global bookshelf of the best works throughout history and across genres and disciplines. Readers trust the series to provide authoritative texts enhanced by introductions and notes by distinguished scholars and contemporary authors, as well as up-to-date translations by award-winning translators.",2947,"['Philosophy', 'Classics', 'Nonfiction', 'Politics', 'History', 'School', 'Ancient']"
Spook: Science Tackles the Afterlife,MARY ROACH,"The author looks to science to determine whether the human soul exists in death, and travels to various places around the world to discuss supernatural occurrences with spirit guides and mediums.",2948,"['Nonfiction', 'Science', 'Humor', 'Paranormal', 'History', 'Death', 'Religion']"
King Solomon's Mines,H. RIDER HAGGARD,"The story of three men who trek to the remote interior of Africa in search of a lost friend. At the end of their perilous journey, they find their friend and the spectacular diamond mines of King Solomon.",2949,"['Classics', 'Fiction', '18th Century', 'Literature', 'Poetry', 'Art', 'Romanticism']"
Sugar Daddy,LISA KLEYPAS,"From a ""New York Times"" bestselling author of historical romance comes a stunning novel set in modern-day Texas. Liberty Jones has dreams and determination to take her far--if she can keep her heart from ruling her head. Martin's Press.",2950,"['Romance', 'Contemporary Romance', 'Contemporary', 'Chick Lit', 'Fiction', 'Adult', 'Audiobook']"
The Berenstain Bears and the Messy Room,STAN BERENSTAIN,"This classic Berenstain Bears story is a perfect way to teach children about tidying up, organization, and taking good care of their belongings! Come for a visit in Bear Country with this classic First Time Book® from Stan and Jan Berenstain. Mama and Papa are frustrated that Brother and Sister can’t seem to pick up after themselves. Will the cubs ever learn to clean up their messes? Includes over 50 bonus stickers!",2951,"['Childrens', 'Picture Books', 'Fiction', 'Animals', 'Family', 'Classics', 'Kids']"
Blaze,RICHARD BACHMAN,"Originally written thirty-five years ago but never published, a crime novel chronicles the life and times of Clayton Blaisdell, Jr.--the crimes committed against him and the crimes he himself commits, including a kidnapping he is doomed to attempt.",2952,"['Horror', 'Fiction', 'Thriller', 'Crime', 'Mystery', 'Suspense', 'Audiobook']"
The Book of Tomorrow,CECELIA AHERN,The magical new novel from number one bestseller Cecelia Ahern.,3104,"['Fiction', 'Chick Lit', 'Fantasy', 'Romance', 'Young Adult', 'Contemporary', 'Mystery']"
Demon Lord of Karanda,DAVID EDDINGS,"Here David Eddings continues his bestselling The Malloreon, taking the quest across a strange continent and among stranger peoples struggling over the religion of a dead God. A story of ancient, opposing Destinies, battling for control of all men. Zandramas had stolen King Garion’s infant son and fled to use the child in some ritual that would make the Dark Destiny supreme. Garion and his friends had followed, but now they were captives of Zakath, Emperor of Mallorea, who, while friendly, stubbornly refused to let them leave. Meanwhile, a horde of demons was ravaging the cities through which they must travel. Zandramas was escaping further toward her goal. And the Seeress of Kell revealed that they must be at the ancient palace of Ashaba within a matter of days or Zandramas would win by default. Then a horrible, fatal plague struck the city of Mal Zeth, closing it against all traffic in or out.",2953,"['Fantasy', 'Fiction', 'Epic Fantasy', 'High Fantasy', 'Science Fiction Fantasy', 'Young Adult', 'Adventure']"
Sensation,BROOKS ADAMS,"""Sensation is the first definitive survey of work by the younger generation of British artists that has captivated the international art world with its vitality and inventiveness.""- Back Cover.",2954,"['Art', 'History', 'Nonfiction', 'Art History', 'Reference', 'Classics', 'Art Design']"
Ice Cold,TESS GERRITSEN,"Stranded with her traveling companions in an eerily deserted Wyoming village during a blizzard, Maura discovers that they are being watched and pursues help when a party member is injured, an effort that turns nightmarish when she is abducted into the woods. By the best-selling author of Harvest. 250,000 first printing.",2955,"['Mystery', 'Thriller', 'Crime', 'Fiction', 'Suspense', 'Mystery Thriller', 'Audiobook']"
The Winter King,BERNARD CORNWELL,"A retelling of the Arthurian legend from the point of view of Derfel Cadarn, one of Arthur's warriors who later becomes a monk.",2956,"['Historical Fiction', 'Fantasy', 'Fiction', 'Arthurian', 'Historical', 'Mythology', 'Medieval']"
Frank Miller’s Sin City Volume 2: A Dame to Kill For 3rd Edition,FRANK MILLER,This volume collects issues one through six of the Dark Horse comic book series 'Sin City: A Dame to Kill For'.,2957,"['Graphic Novels', 'Comics', 'Fiction', 'Crime', 'Noir', 'Graphic Novels Comics', 'Comic Book']"
Leaving Paradise,SIMONE ELKELES,"Nothing has been the same since Caleb Becker left a party drunk and hit Maggie Armstrong, leaving her with a limp for the rest of her life. Caleb and Maggie are pigeonholed as RcriminalS and Rfreak.S Then the truth emerges of what really happened the night of the accident.",2958,"['Young Adult', 'Romance', 'Contemporary', 'Realistic Fiction', 'Fiction', 'Contemporary Romance', 'Young Adult Romance']"
D.N.Angel Volume 1,YUKIRU SUGISAKI,"Daisuke Niwa is an ordinary middle school student with an extraordinary genetic 'condition'. Whenever he starts longing for the girl of his dreams, he transforms into the legendary Phantom Thief, Dark! The only way to lift the curse? To have his love returned, of course. But how can Daisuke win the heart of a girl he can't even romance?",2959,"['Fantasy', 'Romance', 'Graphic Novels', 'Manga', 'Comics', 'Fiction', 'Comics Manga']"
Total Control,DAVID BALDACCI,"When her husband mysteriously disappears in a plane crash into the Virginia countryside, a devastated wife must sort out truth from lies in this page-turning New York Times bestseller. Sidney Archer has it all: a husband she loves, a job at which she excels, and a cherished young daughter. Then, as a plane plummets into the Virginia countryside, everything changes. And suddenly there is no one whom Sidney Archer can trust. Jason Archer is a rising young executive at Triton Global, the world's leading technology conglomerate. Determined to give his family the best of everything, Archer has secretly entered into a deadly game. He is about to disappear--leaving behind a wife who must sort out his lies from his truths, an accident team that wants to know why the plane he was ticketed on crashed, and a veteran FBI agent who wants to know it all",2960,"['Thriller', 'Fiction', 'Mystery', 'Suspense', 'Crime', 'Mystery Thriller', 'Adventure']"
"Some, Like Elephants",LAURA GLEN LOUIS,"Poetry. She was the golden girl and twenty. A year later she was dead, and by her own hand. The young woman's father called Louis with the news, he, a college boyfriend. The next day she could not get out of bed, could not get dressed. Over the next months a tetraptych emerged. She came skittering across the road like a water bird.... The sun behind her the paler star. Like being thrown off axis by a quake, Louis was derailed. She set aside her novel and turned to poetry. A daughter must tell her mother she will die; a man at the height of his creative powers is killed in a freak accident; an American icon is painted in a chiaroscuro as uncompromising as a Rembrandt. The title poem steps back to explore the many ways in which we grieve, while Louis's meditation on her own mortality gives apt and inevitable conclusion. Candid, annealed with precision, these poems haunt and invite revisitation.",2961,"['Fiction', 'Historical Fiction', 'War', 'Military Fiction', 'Historical', 'Audiobook', 'Novels']"
"My Shapes, My Colors, My Numbers, My Animals",REBECCA EMBERLEY,,2962,"['Mystery', 'Fiction', 'Middle Grade', 'Young Adult', 'Adventure', 'Fantasy', 'Childrens']"
Fever,LAUREN DESTEFANO,"In a future where genetic engineering has cured humanity of all diseases and defects but has also produced a virus that kills all females by age 20 and all males by the age 25, teenaged Rhine escapes her forced marriage and journeys back to New York to find her twin brother.",2970,"['Young Adult', 'Dystopia', 'Romance', 'Science Fiction', 'Fantasy', 'Fiction', 'Post Apocalyptic']"
The Comedy of Errors,WILLIAM SHAKESPEARE,"Shakespeare’s The Comedy of Errors is the slapstick farce of his youth. In it, the lost twin sons of the old merchant Egeon—both named Antipholus—find themselves in Ephesus, without either one even knowing of the other’s existence. Meanwhile, Egeon has arrived in search of the son he thinks is still alive—and has been sentenced to death for the “crime” of being from Syracuse. To add to the confusion, the two Antipholuses have twin servants, both named Dromio. As the four men unwittingly encounter each other, the play is crammed with wildly escalating misunderstandings before the truth emerges and Egeon is pardoned. Shakespeare bases his story on Plautus’s Menaechmi, a play about identical twins who accidentally meet after a lifetime apart. He borrows from another Plautus play by having Adriana, the wife of one Antipholus, entertain the other. The spirited Adriana often gives speeches evoking strong emotions—as do other characters at times. Even here, Shakespeare suggests complexities beyond the farce. The authoritative edition of The Comedy of Errors from The Folger Shakespeare Library, the trusted and widely used Shakespeare series for students and general readers, includes: -Freshly edited text based on the best early printed version of the play -Full explanatory notes conveniently placed on pages facing the text of the play -Scene-by-scene plot summaries -A key to the play’s famous lines and phrases -An introduction to reading Shakespeare’s language -An essay by a leading Shakespeare scholar providing a modern perspective on the play -Fresh images from the Folger Shakespeare Library’s vast holdings of rare books -An annotated guide to further reading Essay by Arthur F. Kinney The Folger Shakespeare Library in Washington, DC, is home to the world’s largest collection of Shakespeare’s printed works, and a magnet for Shakespeare scholars from around the globe. In addition to exhibitions open to the public throughout the year, the Folger offers a full calendar of performances and programs. For more information, visit Folger.edu.",2963,"['Classics', 'Plays', 'Drama', 'Fiction', 'Historical Fiction', 'School', 'Literature']"
The Koran,ARTHUR JEFFERY,"Sacred scripture of Islam: Mohammed's revelations concerning the omniscience and majesty of God, death and judgment, the proper conduct of the faithful, previous prophets, kindness to orphans, more.",2964,"['Philosophy', 'Politics', 'Classics', 'Nonfiction', 'History', 'Political Science', 'Ancient']"
The Wedding Officer,ANTHONY CAPELLA,"In the sumptuous tradition ofChocolatandCaptain Corelli's Mandolin, and already optioned for a major motion picture, comes a magical tale of romantic passion, culinary delight—and Italy. Captain James Gould arrives in wartime Naples assigned to discourage marriages between British soldiers and their gorgeous Italian girlfriends. But the innocent young officer is soon distracted by an intoxicating young widow who knows her way around a kitchen...Livia Pertini is creating feasts that stun the senses with their succulence—ruby-colored San Marzana tomatoes, glistening anchovies, and delectable new potatoes encrusted with the black volcanic earth of of Campania—and James is about to learn that his heart may rank higher than his orders. For romance can be born of the sweet and spicy passions of food and love—and time spent in the kitchen can be as joyful and exciting as the banquet of life itself!",2965,"['Nonfiction', 'Biography', 'Business', 'Memoir', 'Finance', 'Autobiography', 'True Crime']"
Ethics,DIETRICH BONHOEFFER,"This reality is not manifest in the Church as distinct from the secular world; such a juxtaposition of two separte spheres, Bonhoeffer insists is a dential of God's having reconciled the whole word to himself in Christ.",2966,"['Christian', 'Theology', 'Christianity', 'Religion', 'Nonfiction', 'Faith', 'Christian Living']"
I'm a Good Dog,KEN FOSTER,"Filled with inspiring stories and photographs, this heartfelt tribute to the pit bull celebrates one of America’s most popular yet misunderstood dogs. Perhaps more than any other breed, the pit bull has been dogged by negative stereotypes. In truth, pit bulls are innately wonderful family pets, as capable of love and good deeds as any other type of dog. Setting the record straight, Ken Foster sings the praises of pit bulls in I’m a Good Dog, a gorgeously illustrated, tenderly written tribute to this most misunderstood of canines. Founder of the Sula Foundation, which promotes responsible pit bull ownership in New Orleans, and the author of two acclaimed books about abandoned dogs, Foster has made it his mission to bring overlooked canines into the limelight. I’m a Good Dog traces the fascinating history of this particularly maligned breed. A century ago, the pit bull was considered a family dog, featured in family photos and trusted as loving companions for children. More recently, pit bulls have been portrayed by the media as stereotypes of everything they are not. Foster shatters that reputation through moving profiles of pit bulls that serve as therapy dogs, athletic heroes, search-and-rescue dogs, and educators, not to mention as loving pets. Foster also profiles many pit bull lovers, from Helen Keller and Dr. Seuss to actor Todd Cerveris, who took his pit bull on tour with him for the musical Spring Awakening. Proving that there’s much to love and nothing to fear, I’m a Good Dog restores the pit bull to its rightful place as friend, family member, athlete and entertainer.",2967,"['Historical Fiction', 'Fiction', 'Book Club', 'Historical', 'Russia', 'Audiobook', 'Literary Fiction']"
Hunger,KNUT HAMSUN,"A modern classic about a penniless, unemployed young writer, this powerful, autobiographical novel paints an unforgettable portrait of a man driven to the edge of self-destruction by forces beyond his control.",2968,"['Fiction', 'Classics', 'Literature', 'Novels', 'Scandinavian Literature', '19th Century', 'Nobel Prize']"
The Book of Unknown Americans,CRISTINA HENRÍQUEZ,"A stunning novel of hopes and dreams, guilt and love—a book that offers a resonant new definition of what it means to be American and ""illuminates the lives behind the current debates about Latino immigration"" (The New York Times Book Review). When fifteen-year-old Maribel Rivera sustains a terrible injury, the Riveras leave behind a comfortable life in Mexico and risk everything to come to the United States so that Maribel can have the care she needs. Once they arrive, it’s not long before Maribel attracts the attention of Mayor Toro, the son of one of their new neighbors, who sees a kindred spirit in this beautiful, damaged outsider. Their love story sets in motion events that will have profound repercussions for everyone involved. Here Henríquez seamlessly interweaves the story of these star-crossed lovers, and of the Rivera and Toro families, with the testimonials of men and women who have come to the United States from all over Latin America.",2969,"['Fiction', 'Book Club', 'Contemporary', 'Audiobook', 'Young Adult', 'Adult Fiction', 'Literary Fiction']"
"""C"" Is for Corpse",SUE GRAFTON,"How do you go about solving an attempted murder when the victim has lost a good part of his memory? It's one of Kinsey's toughest cases yet, but she never backs down from a challenge. Twenty-three-year-old Bobby Callahan is lucky to be alive after a car forced his Porsche over a bridge and into a canyon. The crash left Bobby with a clouded memory. But he can't shake the feeling it was no random accident and that he's still in danger... The only clues Kinsey has to go on are a little red address book and the name ""Blackman."" Bobby can't remember who he gave the address book to for safekeeping. And any chances of Bobby regaining his memory are dashed when he's killed in another automobile accident just three days after he hires Kinsey. As Kinsey digs deeper into her investigation, she discovers Bobby had a secret worth killing for—and unearthing that secret could send Kinsey to her own early death...",2971,"['Mystery', 'Fiction', 'Crime', 'Audiobook', 'Mystery Thriller', 'Detective', 'Thriller']"
Queen of America,LUIS ALBERTO URREA,The sequel to The Hummingbird's Daughter finds Teresita Urrea fleeing to Arizona with her father after the Tomochic Rebellion but is inundated with visits from pilgrims seeking her skills as a healer until she is chased to New York by assassins.,2972,"['Mystery', 'Fiction', 'Crime', 'Mystery Thriller', 'Audiobook', 'Thriller', 'Scotland']"
Joker,BRIAN AZZARELLO,"An original hardcover graphic novel that tells the story of one very dark night in Gotham City—from the creative team behind the graphic novel Lex Luthor: Man of Steel. The Joker has been mysteriously released from Arkham Asylum, and he's none to happy about what's happened to his Gotham City rackets while he's been ""away."" What follows is a harrowing night of revenge, murder and manic crime as only The Joker can deliver it, as he brutally takes back his stolen assets from The Penguin, The Riddler, Two-Face, Killer Croc and others. Brian Azzarello brings to The Joker all the visceral intensity and criminal insight that has made his Vertigo graphic novel series 100 Bullets one of the most critically-acclaimed and award-winning series in all of comics.",2973,"['Comics', 'Graphic Novels', 'Batman', 'Dc Comics', 'Comic Book', 'Fiction', 'Graphic Novels Comics']"
After the Apple: Women in the Bible,NAOMI HARRIS ROSENBLATT,"In a powerful blend of history, psychology, and storytelling, Naomi Rosenblatt reinterprets the stories of the women of the Old Testament. Through her lens, we view these women with a new understanding, marveling at the very modern dilemmas and problems they confronted. Women everywhere will recognize their own struggles to love, to mother, to succeed in relationships, and to survive their way through a complicated world.",2974,"['Fantasy', 'Urban Fantasy', 'Fiction', 'Horror', 'Vampires', 'Paranormal', 'Russia']"
In Pursuit of Flavor,EDNA LEWIS,"The classic cookbook from “the first lady of Southern cooking” (NPR), featuring a new foreword by the James Beard Award–winning chef Mashama Bailey Decades before cornbread, shrimp and grits, and peach cobbler were mainstays on menus everywhere, Edna Lewis was pioneering the celebration of seasonal food as a distinctly American cuisine. In this James Beard Foundation Cookbook Hall of Fame-inducted cookbook, Miss Lewis (as she was almost universally known) shares the recipes of her childhood, spent in a Virginia farming community founded by her grandfather and his friends after emancipation, as well as those that made her one of the most revered American chefs of all time. Interspersed throughout are personal anecdotes, cooking insights, notes on important Southern ingredients, and personally developed techniques for maximizing flavor. Across six charmingly illustrated chapters—From the Gardens and Orchards; From the Farmyard; From the Lakes, Steams, and Oceans; For the Cupboard; From the Bread Oven and Griddle; and The Taste of Old-fashioned Desserts—encompassing almost 200 recipes, Miss Lewis captures the spirit of the South. From Whipped Cornmeal with Okra; Pan-Braised Spareribs; and Benne Seed Biscuits to Thirteen-Bean Soup; Pumpkin with Sautéed Onions and Herbs; a Salad of Whole Tomatoes Garnished with Green Beans and Scallions; and Raspberry Pie Garnished with Whipped Cream, In Pursuit of Flavor is a modern classic and a timeless compendium of Southern cooking at its very best.",2975,"['Fiction', 'Contemporary', 'Literary Fiction', 'Book Club', 'Novels', 'Audiobook', 'Romance']"
Enemy of Mine,BRAD TAYLOR,"Includes an excerpt from ""The widow's strike.""",2976,"['Historical Fiction', 'Fiction', 'Book Club', 'Historical', 'World War II', 'Audiobook', 'War']"
The Water is Wide,PAT CONROY,"""Pat Conroy spent a year teaching black children on an impoverished island off the South Carolina coast."" -- jacket.",2977,"['Fiction', 'Historical Fiction', 'Southern', 'Book Club', 'Military Fiction', 'Contemporary', 'Literature']"
Street Fighting Years,TARIQ ALI,"One of the most famous radical leaders of his time recreates and evokes through personal experience a story that runs through the great focal points of the '60s mood: Vietnam, Che Guevara's murder in Bolivia, and 1968 Paris. Major players in this memoir include Malcolm X, Henry Kissinger, John Lennon, and Bertrand Russell.",2978,"['Fiction', 'Classics', 'War', 'Historical Fiction', 'Horror', 'Literature', 'Novels']"
Teacher Man,FRANK MCCOURT,"Available at last in paperback is Frank McCourt's critically acclaimed, Pulitzer Prize-winning bestseller about how his 30-year teaching career in the public schools of New York City shaped his second act as a writer.",2979,"['Nonfiction', 'Memoir', 'Biography', 'Education', 'Autobiography', 'Teaching', 'Biography Memoir']"
The 37th Hour,JODI COMPTON,"A detective specializing in missing persons cases, Sarah Pribek becomes involved in a case that hits all too close to home, the mysterious disappearance of her own husband, a fellow police officer. A first novel. Reprint.",2989,"['Fiction', 'Mystery', 'Thriller', 'Historical Fiction', 'Mystery Thriller', 'Suspense', 'Books About Books']"
Vampire Kisses: The Beginning,ELLEN SCHREIBER,"A new guy in town. Rumors of vampires. Dangerous first love. This is where it all begins. . . . The mansion on top of Benson Hill has stood empty for years. But one day it seems to be occupied, and its mysterious, handsome inhabitant Alexander Sterling becomes the source of much talk around town. Raven, a vampire-obsessed Goth-girl who has always considered herself an outsider in ""Dullsville,"" is determined to uncover the truth surrounding the secretive Alexander. As she gets to know him, and their spark intensifies, Raven finds herself in some unanticipated situations. Can Alexander make her lifelong dream come true? But love always has its complications—especially when it can only be awakened at nightfall. The first three books in Ellen Schreiber's bestselling Vampire Kisses series capture the thrill of a most unusual romance.",2980,"['Vampires', 'Young Adult', 'Fantasy', 'Romance', 'Paranormal', 'Supernatural', 'Paranormal Romance']"
